target_city,priority,assigned_pilot,assigned_aircraft,distance,weather_conditions,pilot_skill,aircraft_speed,fuel_capacity,mission_fit_score
Beirut,4,Chris Pratt,Fighter Jet,415.72849416593107,Clear,6,1500,3000,0
Amman,3,Chris Pratt,Fighter Jet,390.1637287412529,Clear,6,1500,3000,0
Cairo,3,Chris Pratt,Fighter Jet,201.95901286025176,Clear,6,1500,3000,0
Baghdad,5,Chris Pratt,Fighter Jet,1191.2819032577597,Clear,6,1500,3000,0
Tehran,4,Chris Pratt,Fighter Jet,1859.2355657612743,Clouds,6,1500,3000,0
Riyadh,3,Chris Pratt,Fighter Jet,1662.0823516140424,Clear,6,1500,3000,0
Tripoli,2,Chris Pratt,Fighter Jet,1751.0069634215297,Clouds,6,1500,3000,0
Ankara,4,Chris Pratt,Fighter Jet,908.4406467300851,Clear,6,1500,3000,0
Khartoum,3,Chris Pratt,Fighter Jet,1806.5038966206735,Clouds,6,1500,3000,0
Gaza,5,Chris Pratt,Fighter Jet,253.93592162554287,Clear,6,1500,3000,0
Sanaa,2,Chris Pratt,Fighter Jet,2218.9775030061282,Rain,6,1500,3000,0
Manama,2,Chris Pratt,Fighter Jet,1925.9274117692805,Clear,6,1500,3000,0
Kuwait City,3,Chris Pratt,Fighter Jet,1570.128797124295,Clear,6,1500,3000,0
Doha,4,Chris Pratt,Fighter Jet,2054.894201862133,Clear,6,1500,3000,0
Damascus,5,David Miller,Fighter Jet,463.64045875784797,Clear,5,1500,3000,0
Beirut,4,David Miller,Fighter Jet,415.72849416593107,Clear,5,1500,3000,0
Amman,3,David Miller,Fighter Jet,390.1637287412529,Clear,5,1500,3000,0
Cairo,3,David Miller,Fighter Jet,201.95901286025176,Clear,5,1500,3000,0
Baghdad,5,David Miller,Fighter Jet,1191.2819032577597,Clear,5,1500,3000,0
Tehran,4,David Miller,Fighter Jet,1859.2355657612743,Clouds,5,1500,3000,0
Riyadh,3,David Miller,Fighter Jet,1662.0823516140424,Clear,5,1500,3000,0
Tripoli,2,David Miller,Fighter Jet,1751.0069634215297,Clouds,5,1500,3000,0
Ankara,4,David Miller,Fighter Jet,908.4406467300851,Clear,5,1500,3000,0
Khartoum,3,David Miller,Fighter Jet,1806.5038966206735,Clouds,5,1500,3000,0
Gaza,5,David Miller,Fighter Jet,253.93592162554287,Clear,5,1500,3000,0
Sanaa,2,David Miller,Fighter Jet,2218.9775030061282,Rain,5,1500,3000,0
Manama,2,David Miller,Fighter Jet,1925.9274117692805,Clear,5,1500,3000,0
Kuwait City,3,David Miller,Fighter Jet,1570.128797124295,Clear,5,1500,3000,0
Doha,4,David Miller,Fighter Jet,2054.894201862133,Clear,5,1500,3000,0
Damascus,5,Sarah Connor,Fighter Jet,463.64045875784797,Clear,8,1500,3000,0
Beirut,4,Sarah Connor,Fighter Jet,415.72849416593107,Clear,8,1500,3000,0
Amman,3,Sarah Connor,Fighter Jet,390.1637287412529,Clear,8,1500,3000,0
Cairo,3,Sarah Connor,Fighter Jet,201.95901286025176,Clear,8,1500,3000,0
Baghdad,5,Sarah Connor,Fighter Jet,1191.2819032577597,Clear,8,1500,3000,0
Tehran,4,Sarah Connor,Fighter Jet,1859.2355657612743,Clouds,8,1500,3000,0
Riyadh,3,Sarah Connor,Fighter Jet,1662.0823516140424,Clear,8,1500,3000,0
Tripoli,2,Sarah Connor,Fighter Jet,1751.0069634215297,Clouds,8,1500,3000,0
Ankara,4,Sarah Connor,Fighter Jet,908.4406467300851,Clear,8,1500,3000,0
Khartoum,3,Sarah Connor,Fighter Jet,1806.5038966206735,Clouds,8,1500,3000,0
Gaza,5,Sarah Connor,Fighter Jet,253.93592162554287,Clear,8,1500,3000,0
Sanaa,2,Sarah Connor,Fighter Jet,2218.9775030061282,Rain,8,1500,3000,0
Manama,2,Sarah Connor,Fighter Jet,1925.9274117692805,Clear,8,1500,3000,0
Kuwait City,3,Sarah Connor,Fighter Jet,1570.128797124295,Clear,8,1500,3000,0
Doha,4,Sarah Connor,Fighter Jet,2054.894201862133,Clear,8,1500,3000,0
Damascus,5,John Doe,Bomber,463.64045875784797,Clear,8,900,5000,0
Beirut,4,John Doe,Bomber,415.72849416593107,Clear,8,900,5000,0
Amman,3,John Doe,Bomber,390.1637287412529,Clear,8,900,5000,0
Cairo,3,John Doe,Bomber,201.95901286025176,Clear,8,900,5000,0
Baghdad,5,John Doe,Bomber,1191.2819032577597,Clear,8,900,5000,0
Tehran,4,John Doe,Bomber,1859.2355657612743,Clouds,8,900,5000,0
Riyadh,3,John Doe,Bomber,1662.0823516140424,Clear,8,900,5000,0
Tripoli,2,John Doe,Bomber,1751.0069634215297,Clouds,8,900,5000,0
Ankara,4,John Doe,Bomber,908.4406467300851,Clear,8,900,5000,0
Khartoum,3,John Doe,Bomber,1806.5038966206735,Clouds,8,900,5000,0
Gaza,5,John Doe,Bomber,253.93592162554287,Clear,8,900,5000,0
Sanaa,2,John Doe,Bomber,2218.9775030061282,Rain,8,900,5000,0
Manama,2,John Doe,Bomber,1925.9274117692805,Clear,8,900,5000,0
Kuwait City,3,John Doe,Bomber,1570.128797124295,Clear,8,900,5000,0
Doha,4,John Doe,Bomber,2054.894201862133,Clear,8,900,5000,0
Damascus,5,Jane Smith,Bomber,463.64045875784797,Clear,6,900,5000,0
Beirut,4,Jane Smith,Bomber,415.72849416593107,Clear,6,900,5000,0
Amman,3,Jane Smith,Bomber,390.1637287412529,Clear,6,900,5000,0
Cairo,3,Jane Smith,Bomber,201.95901286025176,Clear,6,900,5000,0
Baghdad,5,Jane Smith,Bomber,1191.2819032577597,Clear,6,900,5000,0
Tehran,4,Jane Smith,Bomber,1859.2355657612743,Clouds,6,900,5000,0
Riyadh,3,Jane Smith,Bomber,1662.0823516140424,Clear,6,900,5000,0
Tripoli,2,Jane Smith,Bomber,1751.0069634215297,Clouds,6,900,5000,0
Ankara,4,Jane Smith,Bomber,908.4406467300851,Clear,6,900,5000,0
Khartoum,3,Jane Smith,Bomber,1806.5038966206735,Clouds,6,900,5000,0
Gaza,5,Jane Smith,Bomber,253.93592162554287,Clear,6,900,5000,0
Sanaa,2,Jane Smith,Bomber,2218.9775030061282,Rain,6,900,5000,0
Manama,2,Jane Smith,Bomber,1925.9274117692805,Clear,6,900,5000,0
Kuwait City,3,Jane Smith,Bomber,1570.128797124295,Clear,6,900,5000,0
Doha,4,Jane Smith,Bomber,2054.894201862133,Clear,6,900,5000,0
Damascus,5,Michael Clark,Bomber,463.64045875784797,Clear,9,900,5000,0
Beirut,4,Michael Clark,Bomber,415.72849416593107,Clear,9,900,5000,0
Amman,3,Michael Clark,Bomber,390.1637287412529,Clear,9,900,5000,0
Cairo,3,Michael Clark,Bomber,201.95901286025176,Clear,9,900,5000,0
Baghdad,5,Michael Clark,Bomber,1191.2819032577597,Clear,9,900,5000,0
Tehran,4,Michael Clark,Bomber,1859.2355657612743,Clouds,9,900,5000,0
Riyadh,3,Michael Clark,Bomber,1662.0823516140424,Clear,9,900,5000,0
Tripoli,2,Michael Clark,Bomber,1751.0069634215297,Clouds,9,900,5000,0
Ankara,4,Michael Clark,Bomber,908.4406467300851,Clear,9,900,5000,0
Khartoum,3,Michael Clark,Bomber,1806.5038966206735,Clouds,9,900,5000,0
Gaza,5,Michael Clark,Bomber,253.93592162554287,Clear,9,900,5000,0
Sanaa,2,Michael Clark,Bomber,2218.9775030061282,Rain,9,900,5000,0
Manama,2,Michael Clark,Bomber,1925.9274117692805,Clear,9,900,5000,0
Kuwait City,3,Michael Clark,Bomber,1570.128797124295,Clear,9,900,5000,0
Doha,4,Michael Clark,Bomber,2054.894201862133,Clear,9,900,5000,0
Damascus,5,Alice Johnson,Bomber,463.64045875784797,Clear,7,900,5000,0
Beirut,4,Alice Johnson,Bomber,415.72849416593107,Clear,7,900,5000,0
Amman,3,Alice Johnson,Bomber,390.1637287412529,Clear,7,900,5000,0
Cairo,3,Alice Johnson,Bomber,201.95901286025176,Clear,7,900,5000,0
Baghdad,5,Alice Johnson,Bomber,1191.2819032577597,Clear,7,900,5000,0
Tehran,4,Alice Johnson,Bomber,1859.2355657612743,Clouds,7,900,5000,0
Riyadh,3,Alice Johnson,Bomber,1662.0823516140424,Clear,7,900,5000,0
Tripoli,2,Alice Johnson,Bomber,1751.0069634215297,Clouds,7,900,5000,0
Ankara,4,Alice Johnson,Bomber,908.4406467300851,Clear,7,900,5000,0
Khartoum,3,Alice Johnson,Bomber,1806.5038966206735,Clouds,7,900,5000,0
Gaza,5,Alice Johnson,Bomber,253.93592162554287,Clear,7,900,5000,0
Sanaa,2,Alice Johnson,Bomber,2218.9775030061282,Rain,7,900,5000,0
Manama,2,Alice Johnson,Bomber,1925.9274117692805,Clear,7,900,5000,0
Kuwait City,3,Alice Johnson,Bomber,1570.128797124295,Clear,7,900,5000,0
Doha,4,Alice Johnson,Bomber,2054.894201862133,Clear,7,900,5000,0
Damascus,5,Robert White,Bomber,463.64045875784797,Clear,10,900,5000,0
Beirut,4,Robert White,Bomber,415.72849416593107,Clear,10,900,5000,0
Amman,3,Robert White,Bomber,390.1637287412529,Clear,10,900,5000,0
Cairo,3,Robert White,Bomber,201.95901286025176,Clear,10,900,5000,0
Baghdad,5,Robert White,Bomber,1191.2819032577597,Clear,10,900,5000,0
Tehran,4,Robert White,Bomber,1859.2355657612743,Clouds,10,900,5000,0
Riyadh,3,Robert White,Bomber,1662.0823516140424,Clear,10,900,5000,0
Tripoli,2,Robert White,Bomber,1751.0069634215297,Clouds,10,900,5000,0
Ankara,4,Robert White,Bomber,908.4406467300851,Clear,10,900,5000,0
Khartoum,3,Robert White,Bomber,1806.5038966206735,Clouds,10,900,5000,0
Gaza,5,Robert White,Bomber,253.93592162554287,Clear,10,900,5000,0
Sanaa,2,Robert White,Bomber,2218.9775030061282,Rain,10,900,5000,0
Manama,2,Robert White,Bomber,1925.9274117692805,Clear,10,900,5000,0
Kuwait City,3,Robert White,Bomber,1570.128797124295,Clear,10,900,5000,0
Doha,4,Robert White,Bomber,2054.894201862133,Clear,10,900,5000,0
Damascus,5,Tom Cruise,Bomber,463.64045875784797,Clear,9,900,5000,0
Beirut,4,Tom Cruise,Bomber,415.72849416593107,Clear,9,900,5000,0
Amman,3,Tom Cruise,Bomber,390.1637287412529,Clear,9,900,5000,0
Cairo,3,Tom Cruise,Bomber,201.95901286025176,Clear,9,900,5000,0
Baghdad,5,Tom Cruise,Bomber,1191.2819032577597,Clear,9,900,5000,0
Tehran,4,Tom Cruise,Bomber,1859.2355657612743,Clouds,9,900,5000,0
Riyadh,3,Tom Cruise,Bomber,1662.0823516140424,Clear,9,900,5000,0
Tripoli,2,Tom Cruise,Bomber,1751.0069634215297,Clouds,9,900,5000,0
Ankara,4,Tom Cruise,Bomber,908.4406467300851,Clear,9,900,5000,0
Khartoum,3,Tom Cruise,Bomber,1806.5038966206735,Clouds,9,900,5000,0
Gaza,5,Tom Cruise,Bomber,253.93592162554287,Clear,9,900,5000,0
Sanaa,2,Tom Cruise,Bomber,2218.9775030061282,Rain,9,900,5000,0
Manama,2,Tom Cruise,Bomber,1925.9274117692805,Clear,9,900,5000,0
Kuwait City,3,Tom Cruise,Bomber,1570.128797124295,Clear,9,900,5000,0
Doha,4,Tom Cruise,Bomber,2054.894201862133,Clear,9,900,5000,0
Damascus,5,Chris Pratt,Bomber,463.64045875784797,Clear,6,900,5000,0
Beirut,4,Chris Pratt,Bomber,415.72849416593107,Clear,6,900,5000,0
Amman,3,Chris Pratt,Bomber,390.1637287412529,Clear,6,900,5000,0
Cairo,3,Chris Pratt,Bomber,201.95901286025176,Clear,6,900,5000,0
Baghdad,5,Chris Pratt,Bomber,1191.2819032577597,Clear,6,900,5000,0
Tehran,4,Chris Pratt,Bomber,1859.2355657612743,Clouds,6,900,5000,0
Riyadh,3,Chris Pratt,Bomber,1662.0823516140424,Clear,6,900,5000,0
Tripoli,2,Chris Pratt,Bomber,1751.0069634215297,Clouds,6,900,5000,0
Ankara,4,Chris Pratt,Bomber,908.4406467300851,Clear,6,900,5000,0
Khartoum,3,Chris Pratt,Bomber,1806.5038966206735,Clouds,6,900,5000,0
Gaza,5,Chris Pratt,Bomber,253.93592162554287,Clear,6,900,5000,0
Sanaa,2,Chris Pratt,Bomber,2218.9775030061282,Rain,6,900,5000,0
Manama,2,Chris Pratt,Bomber,1925.9274117692805,Clear,6,900,5000,0
Kuwait City,3,Chris Pratt,Bomber,1570.128797124295,Clear,6,900,5000,0
Doha,4,Chris Pratt,Bomber,2054.894201862133,Clear,6,900,5000,0
Damascus,5,David Miller,Bomber,463.64045875784797,Clear,5,900,5000,0
Beirut,4,David Miller,Bomber,415.72849416593107,Clear,5,900,5000,0
Amman,3,David Miller,Bomber,390.1637287412529,Clear,5,900,5000,0
Cairo,3,David Miller,Bomber,201.95901286025176,Clear,5,900,5000,0
Baghdad,5,David Miller,Bomber,1191.2819032577597,Clear,5,900,5000,0
Tehran,4,David Miller,Bomber,1859.2355657612743,Clouds,5,900,5000,0
Riyadh,3,David Miller,Bomber,1662.0823516140424,Clear,5,900,5000,0
Tripoli,2,David Miller,Bomber,1751.0069634215297,Clouds,5,900,5000,0
Ankara,4,David Miller,Bomber,908.4406467300851,Clear,5,900,5000,0
Khartoum,3,David Miller,Bomber,1806.5038966206735,Clouds,5,900,5000,0
Gaza,5,David Miller,Bomber,253.93592162554287,Clear,5,900,5000,0
Sanaa,2,David Miller,Bomber,2218.9775030061282,Rain,5,900,5000,0
Manama,2,David Miller,Bomber,1925.9274117692805,Clear,5,900,5000,0
Kuwait City,3,David Miller,Bomber,1570.128797124295,Clear,5,900,5000,0
Doha,4,David Miller,Bomber,2054.894201862133,Clear,5,900,5000,0
Damascus,5,Sarah Connor,Bomber,463.64045875784797,Clear,8,900,5000,0
Beirut,4,Sarah Connor,Bomber,415.72849416593107,Clear,8,900,5000,0
Amman,3,Sarah Connor,Bomber,390.1637287412529,Clear,8,900,5000,0
Cairo,3,Sarah Connor,Bomber,201.95901286025176,Clear,8,900,5000,0
Baghdad,5,Sarah Connor,Bomber,1191.2819032577597,Clear,8,900,5000,0
Tehran,4,Sarah Connor,Bomber,1859.2355657612743,Clouds,8,900,5000,0
Riyadh,3,Sarah Connor,Bomber,1662.0823516140424,Clear,8,900,5000,0
Tripoli,2,Sarah Connor,Bomber,1751.0069634215297,Clouds,8,900,5000,0
Ankara,4,Sarah Connor,Bomber,908.4406467300851,Clear,8,900,5000,0
Khartoum,3,Sarah Connor,Bomber,1806.5038966206735,Clouds,8,900,5000,0
Gaza,5,Sarah Connor,Bomber,253.93592162554287,Clear,8,900,5000,0
Sanaa,2,Sarah Connor,Bomber,2218.9775030061282,Rain,8,900,5000,0
Manama,2,Sarah Connor,Bomber,1925.9274117692805,Clear,8,900,5000,0
Kuwait City,3,Sarah Connor,Bomber,1570.128797124295,Clear,8,900,5000,0
Doha,4,Sarah Connor,Bomber,2054.894201862133,Clear,8,900,5000,0
Damascus,5,John Doe,Drone,463.64045875784797,Clear,8,500,1000,0
Beirut,4,John Doe,Drone,415.72849416593107,Clear,8,500,1000,0
Amman,3,John Doe,Drone,390.1637287412529,Clear,8,500,1000,0
Cairo,3,John Doe,Drone,201.95901286025176,Clear,8,500,1000,0
Baghdad,5,John Doe,Drone,1191.2819032577597,Clear,8,500,1000,0
Tehran,4,John Doe,Drone,1859.2355657612743,Clouds,8,500,1000,0
Riyadh,3,John Doe,Drone,1662.0823516140424,Clear,8,500,1000,0
Tripoli,2,John Doe,Drone,1751.0069634215297,Clouds,8,500,1000,0
Ankara,4,John Doe,Drone,908.4406467300851,Clear,8,500,1000,0
Khartoum,3,John Doe,Drone,1806.5038966206735,Clouds,8,500,1000,0
Gaza,5,John Doe,Drone,253.93592162554287,Clear,8,500,1000,0
Sanaa,2,John Doe,Drone,2218.9775030061282,Rain,8,500,1000,0
Manama,2,John Doe,Drone,1925.9274117692805,Clear,8,500,1000,0
Kuwait City,3,John Doe,Drone,1570.128797124295,Clear,8,500,1000,0
Doha,4,John Doe,Drone,2054.894201862133,Clear,8,500,1000,0
Damascus,5,Jane Smith,Drone,463.64045875784797,Clear,6,500,1000,0
Beirut,4,Jane Smith,Drone,415.72849416593107,Clear,6,500,1000,0
Amman,3,Jane Smith,Drone,390.1637287412529,Clear,6,500,1000,0
Cairo,3,Jane Smith,Drone,201.95901286025176,Clear,6,500,1000,0
Baghdad,5,Jane Smith,Drone,1191.2819032577597,Clear,6,500,1000,0
Tehran,4,Jane Smith,Drone,1859.2355657612743,Clouds,6,500,1000,0
Riyadh,3,Jane Smith,Drone,1662.0823516140424,Clear,6,500,1000,0
Tripoli,2,Jane Smith,Drone,1751.0069634215297,Clouds,6,500,1000,0
Ankara,4,Jane Smith,Drone,908.4406467300851,Clear,6,500,1000,0
Khartoum,3,Jane Smith,Drone,1806.5038966206735,Clouds,6,500,1000,0
Gaza,5,Jane Smith,Drone,253.93592162554287,Clear,6,500,1000,0
Sanaa,2,Jane Smith,Drone,2218.9775030061282,Rain,6,500,1000,0
Manama,2,Jane Smith,Drone,1925.9274117692805,Clear,6,500,1000,0
Kuwait City,3,Jane Smith,Drone,1570.128797124295,Clear,6,500,1000,0
Doha,4,Jane Smith,Drone,2054.894201862133,Clear,6,500,1000,0
Damascus,5,Michael Clark,Drone,463.64045875784797,Clear,9,500,1000,0
Beirut,4,Michael Clark,Drone,415.72849416593107,Clear,9,500,1000,0
Amman,3,Michael Clark,Drone,390.1637287412529,Clear,9,500,1000,0
Cairo,3,Michael Clark,Drone,201.95901286025176,Clear,9,500,1000,0
Baghdad,5,Michael Clark,Drone,1191.2819032577597,Clear,9,500,1000,0
Tehran,4,Michael Clark,Drone,1859.2355657612743,Clouds,9,500,1000,0
Riyadh,3,Michael Clark,Drone,1662.0823516140424,Clear,9,500,1000,0
Tripoli,2,Michael Clark,Drone,1751.0069634215297,Clouds,9,500,1000,0
Ankara,4,Michael Clark,Drone,908.4406467300851,Clear,9,500,1000,0
Khartoum,3,Michael Clark,Drone,1806.5038966206735,Clouds,9,500,1000,0
Gaza,5,Michael Clark,Drone,253.93592162554287,Clear,9,500,1000,0
Sanaa,2,Michael Clark,Drone,2218.9775030061282,Rain,9,500,1000,0
Manama,2,Michael Clark,Drone,1925.9274117692805,Clear,9,500,1000,0
Kuwait City,3,Michael Clark,Drone,1570.128797124295,Clear,9,500,1000,0
Doha,4,Michael Clark,Drone,2054.894201862133,Clear,9,500,1000,0
Damascus,5,Alice Johnson,Drone,463.64045875784797,Clear,7,500,1000,0
Beirut,4,Alice Johnson,Drone,415.72849416593107,Clear,7,500,1000,0
Amman,3,Alice Johnson,Drone,390.1637287412529,Clear,7,500,1000,0
Cairo,3,Alice Johnson,Drone,201.95901286025176,Clear,7,500,1000,0
Baghdad,5,Alice Johnson,Drone,1191.2819032577597,Clear,7,500,1000,0
Tehran,4,Alice Johnson,Drone,1859.2355657612743,Clouds,7,500,1000,0
Riyadh,3,Alice Johnson,Drone,1662.0823516140424,Clear,7,500,1000,0
Tripoli,2,Alice Johnson,Drone,1751.0069634215297,Clouds,7,500,1000,0
Ankara,4,Alice Johnson,Drone,908.4406467300851,Clear,7,500,1000,0
Khartoum,3,Alice Johnson,Drone,1806.5038966206735,Clouds,7,500,1000,0
Gaza,5,Alice Johnson,Drone,253.93592162554287,Clear,7,500,1000,0
Sanaa,2,Alice Johnson,Drone,2218.9775030061282,Rain,7,500,1000,0
Manama,2,Alice Johnson,Drone,1925.9274117692805,Clear,7,500,1000,0
